# ------------------------------------------------------------
# VO Data Model Summary
#   + Maps Spectral2.0 model element to Specturm1.1 Utypes
# ------------------------------------------------------------
Title=Spectrum Version 1.1
Name=Spectrum-1.1
Prefix=spec
URL=http://www.ivoa.net/xml/Spectrum/Spectrum-1.1.xsd
#
#
# Model Path                                                                                                                    & Type                     & Tag                                                                    & UCD                                           & Default                   & Unit                 & Description                              & REQ  
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  SpectralDataset_Target_Pos                                                                                                    & Double                   & Spectrum.Target.Pos                                                    & pos.eq;src                                    & NaN                       &                      & Target RA and Dec                        & REC  
  SpectralDataset_Target_VarAmpl                                                                                                & Double                   & Spectrum.Target.VarAmpl                                                & src.var.amplitude                             & NaN                       &                      & Target variability amplitude, typical    & OPT  
  SpectralDataset_Characterization                                                                                              & Characterization         & Spectrum.Char                                                          &                                               &                           &                      &                                          &      
  SpectralDataset_Characterization_CharacterizationAxes[].CharacterizationAxis                                                  & CharacterizationAxis     & Spectrum.Char.CharAxis                                                 &                                               &                           &                      &                                          &      
  SpectralDataset_Characterization_CharacterizationAxes[].CharacterizationAxis_Name                                             & String                   & Spectrum.Char.CharAxis.Name                                            &                                               &                           &                      & name for axis                            & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].CharacterizationAxis_UCD                                              & String                   & Spectrum.Char.CharAxis.ucd                                             & meta.ucd                                      &                           &                      & ucd for axis                             & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].CharacterizationAxis_Unit                                             & String                   & Spectrum.Char.CharAxis.unit                                            & meta.unit                                     &                           &                      & Unit for axis                            & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].CharacterizationAxis_Calibration                                      & String                   & Spectrum.Char.CharAxis.Calibration                                     &                                               & CALIBRATED                &                      & type of coord calibration                & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].CharacterizationAxis_Resolution                                       & Double                   & Spectrum.Char.CharAxis.Resolution                                      &                                               &                           &                      & resolution of axis                       & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].CharacterizationAxis_Accuracy                                         & Accuracy                 & Spectrum.Char.CharAxis.Accuracy                                        &                                               &                           &                      &                                          &      
  SpectralDataset_Characterization_CharacterizationAxes[].CharacterizationAxis_Accuracy_BinLow                                  & Double                   & Spectrum.Char.CharAxis.Accuracy.BinLow                                 &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].CharacterizationAxis_Accuracy_BinHigh                                 & Double                   & Spectrum.Char.CharAxis.Accuracy.BinHigh                                &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].CharacterizationAxis_Accuracy_BinSize                                 & Double                   & Spectrum.Char.CharAxis.Accuracy.BinSize                                &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].CharacterizationAxis_Accuracy_StatError                               & Double                   & Spectrum.Char.CharAxis.Accuracy.StatError                              &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].CharacterizationAxis_Accuracy_StatErrLow                              & Double                   & Spectrum.Char.CharAxis.Accuracy.StatErrLow                             &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].CharacterizationAxis_Accuracy_StatErrHigh                             & Double                   & Spectrum.Char.CharAxis.Accuracy.StatErrHigh                            &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].CharacterizationAxis_Accuracy_SysError                                & Double                   & Spectrum.Char.CharAxis.Accuracy.SysError                               &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].CharacterizationAxis_Accuracy_Confidence                              & Double                   & Spectrum.Char.CharAxis.Accuracy.Confidence                             &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].CharacterizationAxis_Coverage                                         & Coverage                 & Spectrum.Char.CharAxis.Coverage                                        &                                               &                           &                      &                                          &      
  SpectralDataset_Characterization_CharacterizationAxes[].CharacterizationAxis_Coverage_Bounds                                  & Bounds                   & Spectrum.Char.CharAxis.Coverage.Bounds                                 &                                               &                           &                      &                                          &      
  SpectralDataset_Characterization_CharacterizationAxes[].CharacterizationAxis_Coverage_Bounds_Extent                           & Double                   & Spectrum.Char.CharAxis.Coverage.Bounds.Extent                          &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].CharacterizationAxis_Coverage_Bounds_Start                            & Double                   & Spectrum.Char.CharAxis.Coverage.Bounds.Start                           &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].CharacterizationAxis_Coverage_Bounds_Stop                             & Double                   & Spectrum.Char.CharAxis.Coverage.Bounds.Stop                            &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].CharacterizationAxis_Coverage_Location                                & Location                 & Spectrum.Char.CharAxis.Coverage.Location                               &                                               &                           &                      &                                          &      
  SpectralDataset_Characterization_CharacterizationAxes[].CharacterizationAxis_Coverage_Location_Accuracy                       & Accuracy                 & Spectrum.Char.CharAxis.Coverage.Location.Accuracy                      &                                               &                           &                      &                                          &      
  SpectralDataset_Characterization_CharacterizationAxes[].CharacterizationAxis_Coverage_Location_Accuracy_BinLow                & Double                   & Spectrum.Char.CharAxis.Coverage.Location.Accuracy.BinLow               &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].CharacterizationAxis_Coverage_Location_Accuracy_BinHigh               & Double                   & Spectrum.Char.CharAxis.Coverage.Location.Accuracy.BinHigh              &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].CharacterizationAxis_Coverage_Location_Accuracy_BinSize               & Double                   & Spectrum.Char.CharAxis.Coverage.Location.Accuracy.BinSize              &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].CharacterizationAxis_Coverage_Location_Accuracy_StatError             & Double                   & Spectrum.Char.CharAxis.Coverage.Location.Accuracy.StatError            &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].CharacterizationAxis_Coverage_Location_Accuracy_StatErrLow            & Double                   & Spectrum.Char.CharAxis.Coverage.Location.Accuracy.StatErrLow           &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].CharacterizationAxis_Coverage_Location_Accuracy_StatErrHigh           & Double                   & Spectrum.Char.CharAxis.Coverage.Location.Accuracy.StatErrHigh          &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].CharacterizationAxis_Coverage_Location_Accuracy_SysError              & Double                   & Spectrum.Char.CharAxis.Coverage.Location.Accuracy.SysError             &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].CharacterizationAxis_Coverage_Location_Accuracy_Confidence            & Double                   & Spectrum.Char.CharAxis.Coverage.Location.Accuracy.Confidence           &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].CharacterizationAxis_Coverage_Location_Resolution                     & Double                   & Spectrum.Char.CharAxis.Coverage.Location.Resolution                    &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].CharacterizationAxis_Coverage_Location_Value                          & Double                   & Spectrum.Char.CharAxis.Coverage.Location.Value                         &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].CharacterizationAxis_Coverage_Support                                 & Support                  & Spectrum.Char.CharAxis.Coverage.Support                                &                                               &                           &                      &                                          &      
  SpectralDataset_Characterization_CharacterizationAxes[].CharacterizationAxis_Coverage_Support_Area                            & String                   & Spectrum.Char.CharAxis.Coverage.Support.Area                           &                                               & UNKNOWN                   &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].CharacterizationAxis_Coverage_Support_Extent                          & Double                   & Spectrum.Char.CharAxis.Coverage.Support.Extent                         &                                               & NaN                       &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].CharacterizationAxis_SamplingPrecision                                & SamplingPrecision        & Spectrum.Char.CharAxis.SamplingPrecision                               &                                               &                           &                      &                                          &      
  SpectralDataset_Characterization_CharacterizationAxes[].CharacterizationAxis_SamplingPrecision_SampeExtent                    & Double                   & Spectrum.Char.CharAxis.SamplingPrecision.SamplingExtent                &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].CharacterizationAxis_SamplingPrecision_SamplingPrecisionRefVal        & SamplingPrecisionRefVal  & Spectrum.Char.CharAxis.SamplingPrecision.SamplingPrecisionRefVal       &                                               &                           &                      &                                          &      
