# ------------------------------------------------------------
# VO Data Model Summary
#   + Maps Spectral2.0 model element to Specturm1.1 Utypes
# ------------------------------------------------------------
Title=Spectrum Version 1.1
Name=Spectrum-1.1
Prefix=spec
URL=http://www.ivoa.net/xml/Spectrum/Spectrum-1.1.xsd
#
#
# Model Path                                                                                                                    & Type                     & Tag                                                                    & UCD                                           & Default                   & Unit                 & Description                              & REQ  
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  SpectralDataset_Characterization_CharacterizationAxes[].TimeCharAxis_Coverage_Bounds_Stop                                     & Double                   & Spectrum.Char.TimeAxis.Coverage.Bounds.Stop                            & time.end;obs.exposure                         & NaN                       &                      & Stop time                                & REC  
  SpectralDataset_Characterization_CharacterizationAxes[].TimeCharAxis_Coverage_Location                                        & Location                 & Spectrum.Char.TimeAxis.Coverage.Location                               &                                               &                           &                      &                                          &      
  SpectralDataset_Characterization_CharacterizationAxes[].TimeCharAxis_Coverage_Location_Accuracy                               & Accuracy                 & Spectrum.Char.TimeAxis.Coverage.Location.Accuracy                      &                                               &                           &                      &                                          &      
  SpectralDataset_Characterization_CharacterizationAxes[].TimeCharAxis_Coverage_Location_Accuracy_BinLow                        & Double                   & Spectrum.Char.TimeAxis.Coverage.Location.Accuracy.BinLow               &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].TimeCharAxis_Coverage_Location_Accuracy_BinHigh                       & Double                   & Spectrum.Char.TimeAxis.Coverage.Location.Accuracy.BinHigh              &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].TimeCharAxis_Coverage_Location_Accuracy_BinSize                       & Double                   & Spectrum.Char.TimeAxis.Coverage.Location.Accuracy.BinSize              &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].TimeCharAxis_Coverage_Location_Accuracy_StatError                     & Double                   & Spectrum.Char.TimeAxis.Coverage.Location.Accuracy.StatError            &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].TimeCharAxis_Coverage_Location_Accuracy_StatErrLow                    & Double                   & Spectrum.Char.TimeAxis.Coverage.Location.Accuracy.StatErrLow           &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].TimeCharAxis_Coverage_Location_Accuracy_StatErrHigh                   & Double                   & Spectrum.Char.TimeAxis.Coverage.Location.Accuracy.StatErrHigh          &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].TimeCharAxis_Coverage_Location_Accuracy_SysError                      & Double                   & Spectrum.Char.TimeAxis.Coverage.Location.Accuracy.SysError             &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].TimeCharAxis_Coverage_Location_Accuracy_Confidence                    & Double                   & Spectrum.Char.TimeAxis.Coverage.Location.Accuracy.Confidence           &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].TimeCharAxis_Coverage_Location_Resolution                             & Double                   & Spectrum.Char.TimeAxis.Coverage.Location.Resolution                    &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].TimeCharAxis_Coverage_Location_Value                                  & Double                   & Spectrum.Char.TimeAxis.Coverage.Location.Value                         & time.epoch                                    &                           &                      & Exposure midpoint (MJD, d)               & MAN  
  SpectralDataset_Characterization_CharacterizationAxes[].TimeCharAxis_Coverage_Support                                         & Support                  & Spectrum.Char.TimeAxis.Coverage.Support                                &                                               &                           &                      &                                          &      
  SpectralDataset_Characterization_CharacterizationAxes[].TimeCharAxis_Coverage_Support_Extent                                  & Double                   & Spectrum.Char.TimeAxis.Coverage.Support.Extent                         & time.duration;obs.exposure                    & NaN                       &                      & Effective exposure time                  & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].TimeCharAxis_Coverage_Support_Area                                    & String                   & Spectrum.Char.TimeAxis.Coverage.Support.Area                           &                                               & UNKNOWN                   &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].TimeCharAxis_SamplingPrecision                                        & SamplingPrecision        & Spectrum.Char.TimeAxis.SamplingPrecision                               &                                               &                           &                      &                                          &      
  SpectralDataset_Characterization_CharacterizationAxes[].TimeCharAxis_SamplingPrecision_SampleExtent                           & Double                   & Spectrum.Char.TimeAxis.SamplingPrecision.SamplingExtent                & time.interval                                 &                           &                      & time bin size                            & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].TimeCharAxis_SamplingPrecision_SamplingPrecisionRefVal                & SamplingPrecisionRefVal  & Spectrum.Char.TimeAxis.SamplingPrecision.SamplingPrecisionRefVal       &                                               &                           &                      &                                          &      
  SpectralDataset_Characterization_CharacterizationAxes[].TimeCharAxis_SamplingPrecision_SamplingPrecisionRefVal_FillFactor     & Double                   & Spectrum.Char.TimeAxis.SamplingPrecision.SamplingPrecisionRefVal.FillFactor     & stat.filling;time                    & NaN                       &                      & Sampling Filling factor                  & OPT  
#
  SpectralDataset_Data                                                                                                          & Data                     & Spectrum.Data                                                          &                                               &                           &                      &                                          &      
  SpectralDataset_Data[].SPPoint_FluxAxis                                                                                       & FluxDataAxis             & Spectrum.Data.FluxAxis                                                 &                                               &                           &                      &                                          &      
  SpectralDataset_Data[].SPPoint_FluxAxis_ucd                                                                                   & String                   & Spectrum.Data.FluxAxis.ucd                                             & meta.ucd                                      &                           &                      & ucd for flux                             & OPT  
  SpectralDataset_Data[].SPPoint_FluxAxis_unit                                                                                  & String                   & Spectrum.Data.FluxAxis.unit                                            & meta.unit                                     &                           &                      & Unit for flux                            & OPT  
  SpectralDataset_Data[].SPPoint_FluxAxis_Quality                                                                               & Integer                  & Spectrum.Data.FluxAxis.Quality                                         & meta.code.qual;phot.flux.density;em.*         & 0                         &                      & Quality mask                             & OPT  
  SpectralDataset_Data[].SPPoint_FluxAxis_Resolution                                                                            & Double                   & Spectrum.Data.FluxAxis.Resolution                                      &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Data[].SPPoint_FluxAxis_Value                                                                                 & Double                   & Spectrum.Data.FluxAxis.Value                                           &                                               &                           &                      & Flux values for points                   & MAN  
  SpectralDataset_Data[].SPPoint_FluxAxis_Accuracy                                                                              & Accuracy                 & Spectrum.Data.FluxAxis.Accuracy                                        &                                               &                           &                      &                                          &      
  SpectralDataset_Data[].SPPoint_FluxAxis_Accuracy_BinLow                                                                       & Double                   & Spectrum.Data.FluxAxis.Accuracy.BinLow                                 &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Data[].SPPoint_FluxAxis_Accuracy_BinHigh                                                                      & Double                   & Spectrum.Data.FluxAxis.Accuracy.BinHigh                                &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Data[].SPPoint_FluxAxis_Accuracy_BinSize                                                                      & Double                   & Spectrum.Data.FluxAxis.Accuracy.BinSize                                &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Data[].SPPoint_FluxAxis_Accuracy_StatError                                                                    & Double                   & Spectrum.Data.FluxAxis.Accuracy.StatError                              & stat.error;phot.flux.density;em.*             &                           &                      & symmetric error                          & OPT  
  SpectralDataset_Data[].SPPoint_FluxAxis_Accuracy_StatErrLow                                                                   & Double                   & Spectrum.Data.FluxAxis.Accuracy.StatErrLow                             & stat.error;phot.flux.density;em.*;stat.min    & NaN                       &                      & Lower error                              & OPT  
  SpectralDataset_Data[].SPPoint_FluxAxis_Accuracy_StatErrHigh                                                                  & Double                   & Spectrum.Data.FluxAxis.Accuracy.StatErrHigh                            & stat.error;phot.flux.density;em.*;stat.max    & NaN                       &                      & Upper error                              & OPT  
  SpectralDataset_Data[].SPPoint_FluxAxis_Accuracy_SysError                                                                     & Double                   & Spectrum.Data.FluxAxis.Accuracy.SysError                               & stat.error.sys;phot.flux.density;em.*         &                           &                      & Systematic error                         & OPT  
  SpectralDataset_Data[].SPPoint_FluxAxis_Accuracy_Confidence                                                                   & Double                   & Spectrum.Data.FluxAxis.Accuracy.Confidence                             &                                               &                           &                      &                                          & OPT  
#
  SpectralDataset_Data[].SPPoint_SpectralAxis                                                                                   & SpectralDataAxis         & Spectrum.Data.SpectralAxis                                             &                                               &                           &                      &                                          &      
  SpectralDataset_Data[].SPPoint_SpectralAxis_ucd                                                                               & String                   & Spectrum.Data.SpectralAxis.ucd                                         & meta.ucd                                      &                           &                      & ucd for spectral coord                   & OPT  
  SpectralDataset_Data[].SPPoint_SpectralAxis_unit                                                                              & String                   & Spectrum.Data.SpectralAxis.unit                                        & meta.unit                                     &                           &                      & Unit for spectral coord                  & OPT  
  SpectralDataset_Data[].SPPoint_SpectralAxis_Resolution                                                                        & Double                   & Spectrum.Data.SpectralAxis.Resolution                                  & spect.resolution;em.*                         &                           &                      & Spectral resolution FWHM                 & OPT  
  SpectralDataset_Data[].SPPoint_SpectralAxis_Value                                                                             & Double                   & Spectrum.Data.SpectralAxis.Value                                       &                                               & NaN                       &                      & Spectral coordinates for points          & MAN  
  SpectralDataset_Data[].SPPoint_SpectralAxis_Accuracy                                                                          & Accuracy                 & Spectrum.Data.SpectralAxis.Accuracy                                    &                                               &                           &                      &                                          &      
  SpectralDataset_Data[].SPPoint_SpectralAxis_Accuracy_BinLow                                                                   & Double                   & Spectrum.Data.SpectralAxis.Accuracy.BinLow                             & em.*;stat.min                                 & NaN                       &                      & Spectral coord bin lower end             & OPT  
  SpectralDataset_Data[].SPPoint_SpectralAxis_Accuracy_BinHigh                                                                  & Double                   & Spectrum.Data.SpectralAxis.Accuracy.BinHigh                            & em.*;stat.max                                 & NaN                       &                      & Spectral coord bin upper end             & OPT  
  SpectralDataset_Data[].SPPoint_SpectralAxis_Accuracy_BinSize                                                                  & Double                   & Spectrum.Data.SpectralAxis.Accuracy.BinSize                            & em.*;spect.binSize                            &                           &                      & Wavelength bin size                      & OPT  
  SpectralDataset_Data[].SPPoint_SpectralAxis_Accuracy_StatError                                                                & Double                   & Spectrum.Data.SpectralAxis.Accuracy.StatError                          & stat.error;em.*                               & NaN                       &                      & Spectral coord measurement error         & OPT  
  SpectralDataset_Data[].SPPoint_SpectralAxis_Accuracy_StatErrLow                                                               & Double                   & Spectrum.Data.SpectralAxis.Accuracy.StatErrLow                         & stat.error;em.*;stat.min                      & NaN                       &                      & Spectral coord measurement lower error   & OPT  
  SpectralDataset_Data[].SPPoint_SpectralAxis_Accuracy_StatErrHigh                                                              & Double                   & Spectrum.Data.SpectralAxis.Accuracy.StatErrHigh                        & stat.error;em.*;stat.max                      & NaN                       &                      & Spectral coord measurement upper error   & OPT  
  SpectralDataset_Data[].SPPoint_SpectralAxis_Accuracy_SysError                                                                 & Double                   & Spectrum.Data.SpectralAxis.Accuracy.SysError                           & stat.error.sys;em.*                           &                           &                      & Spectral coord systematic error          & OPT  
  SpectralDataset_Data[].SPPoint_SpectralAxis_Accuracy_Confidence                                                               & Double                   & Spectrum.Data.SpectralAxis.Accuracy.Confidence                         &                                               &                           &                      & Spectral coord confidence                & OPT  
#
  SpectralDataset_Data[].SPPoint_TimeAxis                                                                                       & TimeDataAxis             & Spectrum.Data.TimeAxis                                                 &                                               &                           &                      &                                          &      
  SpectralDataset_Data[].SPPoint_TimeAxis_ucd                                                                                   & String                   & Spectrum.Data.TimeAxis.ucd                                             & meta.ucd                                      &                           &                      & ucd for time                             & OPT  
  SpectralDataset_Data[].SPPoint_TimeAxis_unit                                                                                  & String                   & Spectrum.Data.TimeAxis.unit                                            & meta.unit                                     &                           &                      & Unit for time                            & OPT  
  SpectralDataset_Data[].SPPoint_TimeAxis_Resolution                                                                            & Double                   & Spectrum.Data.TimeAxis.Resolution                                      & time.resolution                               &                           &                      & Temporal resolution FWHM                 & OPT  
  SpectralDataset_Data[].SPPoint_TimeAxis_Value                                                                                 & Double                   & Spectrum.Data.TimeAxis.Value                                           &                                               &                           &                      & Time coordinates for points              & OPT  
  SpectralDataset_Data[].SPPoint_TimeAxis_Accuracy                                                                              & Accuracy                 & Spectrum.Data.TimeAxis.Accuracy                                        &                                               &                           &                      &                                          &      
  SpectralDataset_Data[].SPPoint_TimeAxis_Accuracy_BinLow                                                                       & Double                   & Spectrum.Data.TimeAxis.Accuracy.BinLow                                 & time.start;time.interval                      & NaN                       &                      & Time bin start                           & OPT  
  SpectralDataset_Data[].SPPoint_TimeAxis_Accuracy_BinHigh                                                                      & Double                   & Spectrum.Data.TimeAxis.Accuracy.BinHigh                                & time.end;time.interval                        & NaN                       &                      & Time bin stop                            & OPT  
  SpectralDataset_Data[].SPPoint_TimeAxis_Accuracy_BinSize                                                                      & Double                   & Spectrum.Data.TimeAxis.Accuracy.BinSize                                & time.interval                                 &                           &                      & Time bin size                            & OPT  
  SpectralDataset_Data[].SPPoint_TimeAxis_Accuracy_StatError                                                                    & Double                   & Spectrum.Data.TimeAxis.Accuracy.StatError                              & stat.error;time                               &                           &                      & Time coord measurement statistical error & OPT  
  SpectralDataset_Data[].SPPoint_TimeAxis_Accuracy_StatErrLow                                                                   & Double                   & Spectrum.Data.TimeAxis.Accuracy.StatErrLow                             & stat.error;time;stat.min                      & NaN                       &                      & Time coord measurement lower error       & OPT  
  SpectralDataset_Data[].SPPoint_TimeAxis_Accuracy_StatErrHigh                                                                  & Double                   & Spectrum.Data.TimeAxis.Accuracy.StatErrHigh                            & stat.error;time;stat.max                      & NaN                       &                      & Time coord measurement upper error       & OPT  
  SpectralDataset_Data[].SPPoint_TimeAxis_Accuracy_SysError                                                                     & Double                   & Spectrum.Data.TimeAxis.Accuracy.SysError                               & stat.error.sys;time                           &                           &                      & Time coord  systematic error             & OPT  
  SpectralDataset_Data[].SPPoint_TimeAxis_Accuracy_Confidence                                                                   & Double                   & Spectrum.Data.TimeAxis.Accuracy.Confidence                             &                                               &                           &                      & Time coord confidence                    & OPT  
#
  SpectralDataset_Data[].SPPoint_BackgroundModel                                                                                & FluxDataAxis             & Spectrum.Data.BackgroundModel                                          &                                               &                           &                      &                                          &      
  SpectralDataset_Data[].SPPoint_BackgroundModel_ucd                                                                            & String                   & Spectrum.Data.BackgroundModel.ucd                                      & meta.ucd                                      &                           &                      & ucd for background flux                  & OPT  
  SpectralDataset_Data[].SPPoint_BackgroundModel_unit                                                                           & String                   & Spectrum.Data.BackgroundModel.unit                                     & meta.unit                                     &                           &                      & Unit for background flux                 & OPT  
  SpectralDataset_Data[].SPPoint_BackgroundModel_Quality                                                                        & Integer                  & Spectrum.Data.BackgroundModel.Quality                                  & meta.code.qual;phot.flux.density;em.*         & 0                         &                      & Quality mask                             & OPT  
  SpectralDataset_Data[].SPPoint_BackgroundModel_Resolution                                                                     & Double                   & Spectrum.Data.BackgroundModel.Resolution                               &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Data[].SPPoint_BackgroundModel_Value                                                                          & Double                   & Spectrum.Data.BackgroundModel.Value                                    &                                               &                           &                      & Flux values for points                   & OPT  
  SpectralDataset_Data[].SPPoint_BackgroundModel_Accuracy                                                                       & Accuracy                 & Spectrum.Data.BackgroundModel.Accuracy                                 &                                               &                           &                      &                                          &      
  SpectralDataset_Data[].SPPoint_BackgroundModel_Accuracy_BinLow                                                                & Double                   & Spectrum.Data.BackgroundModel.Accuracy.BinLow                          &                                               & NaN                       &                      &                                          & OPT  
  SpectralDataset_Data[].SPPoint_BackgroundModel_Accuracy_BinHigh                                                               & Double                   & Spectrum.Data.BackgroundModel.Accuracy.BinHigh                         &                                               & NaN                       &                      &                                          & OPT  
  SpectralDataset_Data[].SPPoint_BackgroundModel_Accuracy_BinSize                                                               & Double                   & Spectrum.Data.BackgroundModel.Accuracy.BinSize                         &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Data[].SPPoint_BackgroundModel_Accuracy_StatError                                                             & Double                   & Spectrum.Data.BackgroundModel.Accuracy.StatError                       & stat.error;phot.flux.density;em.*             &                           &                      & Symmetric error                          & OPT  
  SpectralDataset_Data[].SPPoint_BackgroundModel_Accuracy_StatErrLow                                                            & Double                   & Spectrum.Data.BackgroundModel.Accuracy.StatErrLow                      & stat.error;phot.flux.density;em.*;stat.min    & NaN                       &                      & Lower error                              & OPT  
  SpectralDataset_Data[].SPPoint_BackgroundModel_Accuracy_StatErrHigh                                                           & Double                   & Spectrum.Data.BackgroundModel.Accuracy.StatErrHigh                     & stat.error;phot.flux.density;em.*;stat.max    & NaN                       &                      & Upper error                              & OPT  
  SpectralDataset_Data[].SPPoint_BackgroundModel_Accuracy_SysError                                                              & Double                   & Spectrum.Data.BackgroundModel.Accuracy.SysError                        & stat.error.sys;phot.flux.density;em.*         &                           &                      & Systematic error                         & OPT  
  SpectralDataset_Data[].SPPoint_BackgroundModel_Accuracy_Confidence                                                            & Double                   & Spectrum.Data.BackgroundModel.Accuracy.Confidence                      &                                               &                           &                      &                                          & OPT  
